Title,Company_name,Company,Salary,Salary1,Schedule,jobsnippet,date,Place
Jr Cyber Security Analyst,Sentara Healthcare,"Virginia Beach, VA 23455 
(Bayside area)",Estimated $70.5K - $89.3K a year,,,"Under the close direction of permanently employed leaders of the division, Intern assumes responsibility for operational projects and supporting the leadership…","Posted
Posted 12 days ago",
Cloud Security Engineer,Tech Observer,Remote,Estimated $106K - $134K a year,,,"Cloud security: 1 year (Required).
 Information security: 1 year (Preferred).
 Oversee existing security tools and policies within the Client's cloud environment…","Posted
Posted 10 days ago",
IT Security Engineer,The County of Santa Clara - County Executive,"San Jose, CA",Estimated $144K - $183K a year,,,"Maximizes security footprint by monitoring security tools, troubleshooting escalated security problems and incidents, scheduling security upgrades, identifying…","Posted
Posted 16 days ago",
"IT and Operational Risk Management, Assoc. Dir.",FHLBank San Francisco,"San Francisco, CA 94104 
(Financial District/South Beach area)",,"$155,000 - $175,000 a year",,"Additionally, the role will ensure that key ERM, ORM and ITRM processes including identification, assessment, monitoring, management, and reporting of risks…","Posted
Posted 30+ days ago",Fair pay
Cloud Security Architect,Idea Evolver,Remote,,"$120,000 - $160,000 a year",,"Oversee internal security team and company security posture.
 Conduct architecture reviews and white box security testing to assess and validate application…","Employer
Active 4 days ago",
Security Analyst,Brooksource,"Hybrid remote in Lansing, MI 48917",,$24 - $25 an hour,,Creates security procedures to ensure adequate security procedures have been developed to identify and classify cyber events.,"Employer
Active 7 days ago",Job satisfaction
IT Security Engineer,CR&R Inc,"Stanton, CA 90680",,"From $125,000 a year",,"He/She will devise and manage a security roadmap that maintains and strengthens the company's security posture.
 Maintenance of MS Intune and Cortex XDR.","Employer
Active 4 days ago",
SOC Tier 1 Analyst,"CGI Group, Inc.","Rockville, MD 20849",Estimated $60.1K - $76K a year,,,"Familiarity with SIEM platforms and other security monitoring tools.
 Monitor security event and incident detection systems, including SIEM (Security Information…","Posted
Posted 9 days ago",Easy to request PTO
Adjunct – Information Systems Technology -Cybersecurity,Columbus State Community College,"Columbus, OH 43215 
(Downtown area)",,$54.48 an hour,,The Adjunct – Information Systems Technology – Cybersecurity position provides quality instruction and maintains a positive learning environment in the…,"Posted
Posted 30+ days ago",Good work-life balance
"2025322 Cyber Security SME $215,000.00",B4CORP,"Herndon, VA",,"Up to $2,000 a week",,"Cloud security controls and implementation.
 Self-starter able to work independently and build relationships with technical reps across divisions, comfortable…","Posted
Posted 30 days ago",Supportive management
Product Security Lead,Cox Communications,"Atlanta, GA",,"$105,700 - $176,100 a year",,"Bringing together product development teams and cyber security to achieve a high level of cyber security quality.
 USD 105,700.00 - 176,100.00 per year.","Posted
Posted 30+ days ago",Good compensation and benefits
Information Security Engineer,PayPal,Remote in Hawaii,,"$60,900 - $147,400 a year",,The Cloud Infrastructure Operations team is the main responsible on maintaining an acceptable security posture across all our cloud environments’ infrastructure…,"Posted
Posted 27 days ago",
Information Technology CyberSecurity Specialist,U.S. Department of State,"Hybrid remote in Washington, DC 20520",,"$94,199 - $122,459 a year",,"Experience identifying cyber security programmatic problems, trends and weaknesses and recommending solutions to reduce program vulnerabilities.","Posted
Posted 4 days ago",
Intermediate Information Security Analyst,"Data Systems Analysts, Inc.","Remote in Washington, DC 20015",,"$75,000 - $90,000 a year",,"Working closely with senior agency security officials, system owners, information system security officers (ISSOs) and other stakeholders to advise and…","Posted
Posted 30+ days ago",Good compensation and benefits
Cyber Security Analyst,State of Hawaii,Hawaii,,"$4,500 - $5,400 a month",,"The Security Section prioritizes supporting systems from an enterprise perspective, providing support of core cyber security services available to all State…","Posted
Posted 6 days ago",
Director of Information Security #517469,San Francisco State University,"Hybrid remote in San Francisco, CA 94132",Estimated $135K - $171K a year,,,"Experience with cyber security frameworks such as ISO 27000, NIST 800.
 A working knowledge of information security practices and concepts including: access…","Employer
Active 4 days ago",Good management
Information Security Officer (Information Technology),Express Employment Professionals,"Dallas, TX",,"$76,000 - $114,000 a year",,"Establishes and promotes information security awareness training.
 Experience in the development of information security policies, intrusion response procedures,…","Posted
Posted 5 days ago",
Cyber Security Instructor (virtual),Cyber Arts Camp,Remote,,$60 - $90 an hour,,"Job Types: Part-time, Contract.","Employer
Active 4 days ago",
Sr. IT Risk & Internal Auditor,RETIREMENT CLEARINGHOUSE LLC,"Charlotte, NC 28202 
(Downtown Charlotte area)",,"$100,000 - $120,000 a year",,"Support IT and related departments with the formation of IT and security policies/procedures.
 FULL-TIME/PART-TIME: Full-Time.","Posted
Posted 1 day ago",
Senior Security Engineer (IAM),Kforce,"Dublin, CA 94568",,"$175,000 - $200,000 a year",,"In-depth knowledge of general information security.
 Strong knowledge of current IAM space and have a self-driven desire to research current information on the…","Posted
Posted 30+ days ago",Salary meets cost of living
Information Security Analyst,PayPal,Remote in Arizona,Estimated $90.3K - $114K a year,,,"Advanced understanding of tools and processes used in security incident detection and handling, security threats, incident response, and security monitoring…","Posted
Posted 11 days ago",
Special Agent: Cybersecurity/Technology Background,Federal Bureau of Investigation,"San Diego, CA",,"$78,000 - $153,000 a year",,"You will be prompted to either Sign In to continue or to register with FBIJobs if you don’t already have an account.
 Adhere to strict standards of conduct.","Posted
Posted 2 days ago",
Vulnerability Management Analyst,TikTok,"Hybrid remote in San Jose, CA",,"$80,000 - $100,000 a year",,"Bachelor’s Degree or industry equivalent work experience in vulnerability management in a security program.
 Log and track discovered vulnerabilities.","Posted
Posted 30+ days ago",
Digital Forensics Analyst,Technology Concepts & Design (TCDI),"Remote in Cleveland, OH",Estimated $87.6K - $111K a year,,,"This position will be responsible for preserving and analyzing data from various sources, including laptops / desktops, servers, cell phones, cloud-based…","Posted
Posted 30+ days ago",
Jr Cyber Security Analyst,Sentara Healthcare,"Virginia Beach, VA 23455 
(Bayside area)",Estimated $70.5K - $89.3K a year,,,"Under the close direction of permanently employed leaders of the division, Intern assumes responsibility for operational projects and supporting the leadership…","Posted
Posted 12 days ago",
Cloud Security Engineer,Tech Observer,Remote,Estimated $106K - $134K a year,,,"Cloud security: 1 year (Required).
 Information security: 1 year (Preferred).
 Oversee existing security tools and policies within the Client's cloud environment…","Posted
Posted 10 days ago",
IT Security Engineer,The County of Santa Clara - County Executive,"San Jose, CA",Estimated $144K - $183K a year,,,"Maximizes security footprint by monitoring security tools, troubleshooting escalated security problems and incidents, scheduling security upgrades, identifying…","Posted
Posted 16 days ago",
"IT and Operational Risk Management, Assoc. Dir.",FHLBank San Francisco,"San Francisco, CA 94104 
(Financial District/South Beach area)",,"$155,000 - $175,000 a year",,"Additionally, the role will ensure that key ERM, ORM and ITRM processes including identification, assessment, monitoring, management, and reporting of risks…","Posted
Posted 30+ days ago",Fair pay
Cloud Security Architect,Idea Evolver,Remote,,"$120,000 - $160,000 a year",,"Oversee internal security team and company security posture.
 Conduct architecture reviews and white box security testing to assess and validate application…","Employer
Active 4 days ago",
Security Analyst,Brooksource,"Hybrid remote in Lansing, MI 48917",,$24 - $25 an hour,,Creates security procedures to ensure adequate security procedures have been developed to identify and classify cyber events.,"Employer
Active 7 days ago",Job satisfaction
IT Security Engineer,CR&R Inc,"Stanton, CA 90680",,"From $125,000 a year",,"He/She will devise and manage a security roadmap that maintains and strengthens the company's security posture.
 Maintenance of MS Intune and Cortex XDR.","Employer
Active 4 days ago",
SOC Tier 1 Analyst,"CGI Group, Inc.","Rockville, MD 20849",Estimated $60.1K - $76K a year,,,"Familiarity with SIEM platforms and other security monitoring tools.
 Monitor security event and incident detection systems, including SIEM (Security Information…","Posted
Posted 9 days ago",Easy to request PTO
